name,marker-color,marker-size,marker-symbol,id,featuretype,notes,geology,lon,lat
Valley of Stones,,,,335,Stone,,Sarsen,-2.57236,50.68944
Valley of Stones,,,,336,Stone,,Sarsen,-2.5723,50.68947
Valley of Stones,,,,337,Stone,,Sarsen,-2.57222,50.6895
Valley of Stones,,,,338,Stone,,Sarsen,-2.57226,50.68944
Valley of Stones,,,,339,Stone,,Sarsen,-2.5722,50.68945
Valley of Stones,,,,340,Stone,,Sarsen,-2.57215,50.68945
Valley of Stones,,,,341,Stone,,Sarsen,-2.57212,50.68942
Valley of Stones,,,,342,Stone,,Sarsen,-2.57218,50.6894
Valley of Stones,,,,343,Stone,,Sarsen,-2.57213,50.68939
Valley of Stones,,,,344,Stone,,Sarsen,-2.57208,50.68938
Valley of Stones,,,,345,Stone,,Sarsen,-2.57206,50.68936
Valley of Stones,,,,346,Stone,,Sarsen,-2.572,50.68936
Valley of Stones,,,,347,Stone,,Sarsen,-2.57206,50.68932
Valley of Stones,,,,348,Stone,,Sarsen,-2.57201,50.68932
Valley of Stones,,,,349,Stone,,Sarsen,-2.57192,50.6893
Valley of Stones,,,,350,Stone,,Sarsen,-2.57197,50.68928
Valley of Stones,,,,351,Stone,,Sarsen,-2.57201,50.68923
Valley of Stones,,,,352,Stone,,Sarsen,-2.5719,50.68923
Valley of Stones,,,,353,Stone,,Sarsen,-2.57186,50.68918
Valley of Stones,,,,354,Stone,,Sarsen,-2.57176,50.68918
Valley of Stones,,,,355,Stone,,Sarsen,-2.57164,50.68917
Valley of Stones,,,,356,Stone,,Sarsen,-2.57171,50.68913
Valley of Stones,,,,357,Stone,,Sarsen,-2.57168,50.68912
Valley of Stones,,,,358,Stone,,Sarsen,-2.57165,50.68911
Valley of Stones,,,,359,Stone,,Sarsen,-2.5716,50.6891
Valley of Stones,,,,360,Stone,,Sarsen,-2.57161,50.68907
Valley of Stones,,,,361,Stone,,Sarsen,-2.57165,50.68905
Valley of Stones,,,,362,Stone,,Sarsen,-2.5717,50.68904
Valley of Stones,,,,363,Stone,,Sarsen,-2.57155,50.68904
Valley of Stones,,,,364,Stone,,Sarsen,-2.57152,50.68902
Valley of Stones,,,,365,Stone,,Sarsen,-2.57146,50.68899
Valley of Stones,,,,366,Stone,,Sarsen,-2.57143,50.68902
Valley of Stones,,,,367,Stone,,Sarsen,-2.57157,50.68902
Valley of Stones,,,,368,Stone,,Sarsen,-2.5716,50.689
Valley of Stones,,,,369,Stone,,Sarsen,-2.57163,50.68897
Valley of Stones,,,,370,Stone,,Sarsen,-2.57159,50.68896
Valley of Stones,,,,371,Stone,,Sarsen,-2.5715,50.68897
Valley of Stones,,,,372,Stone,,Sarsen,-2.57148,50.68895
Valley of Stones,,,,373,Stone,,Sarsen,-2.57143,50.68895
Valley of Stones,,,,374,Stone,,Sarsen,-2.5715,50.68886
Valley of Stones,,,,375,Stone,,Sarsen,-2.57084,50.68873
Valley of Stones,,,,376,Stone,,Sarsen,-2.571,50.68875
Valley of Stones,,,,377,Stone,,Sarsen,-2.57109,50.68874
Valley of Stones,,,,378,Stone,,Sarsen,-2.57117,50.68871
Valley of Stones,,,,379,Stone,,Sarsen,-2.57146,50.68879
Valley of Stones,,,,380,Stone,,Sarsen,-2.57141,50.6888
Valley of Stones,,,,381,Stone,,Sarsen,-2.57134,50.68881
Valley of Stones,,,,382,Stone,,Sarsen,-2.57129,50.68879
Valley of Stones,,,,383,Stone,,Sarsen,-2.57132,50.68876
Valley of Stones,,,,384,Stone,,Sarsen,-2.57129,50.68872
Valley of Stones,,,,385,Stone,,Sarsen,-2.57134,50.68871
Valley of Stones,,,,386,Stone,,Sarsen,-2.57138,50.68874
Valley of Stones,,,,387,Stone,,Sarsen,-2.57145,50.6887
Valley of Stones,,,,388,Stone,,Sarsen,-2.57135,50.68867
Valley of Stones,,,,389,Stone,,Sarsen,-2.57144,50.68865
Valley of Stones,,,,390,Stone,,Sarsen,-2.57134,50.68864
Valley of Stones,,,,391,Stone,,Sarsen,-2.57128,50.68863
Valley of Stones,,,,392,Stone,,Sarsen,-2.57128,50.68856
Valley of Stones,,,,393,Stone,,Sarsen,-2.57119,50.68857
Valley of Stones,,,,394,Stone,,Sarsen,-2.57112,50.68858
Valley of Stones,,,,395,Stone,,Sarsen,-2.57074,50.68856
Valley of Stones,,,,396,Stone,,Sarsen,-2.57051,50.68845
Valley of Stones,,,,397,Stone,,Sarsen,-2.57025,50.6831
Valley of Stones,,,,398,Stone,,Sarsen,-2.5695,50.68738
Valley of Stones,,,,399,Stone,,Sarsen,-2.57088,50.68772
Valley of Stones,,,,400,Stone,,Sarsen,-2.57081,50.68771
Valley of Stones,,,,401,Stone,,Sarsen,-2.57079,50.68766
Valley of Stones,,,,402,Stone,,Sarsen,-2.57074,50.68764
